170,Invalid last purchase date
170,Invalid churned value
171,Invalid join date
171,Invalid last purchase date
171,Invalid churned value
172,Invalid join date
172,Invalid last purchase date
172,Invalid churned value
173,Invalid join date
173,Invalid last purchase date
174,Invalid join date
174,Invalid last purchase date
174,Invalid churned value
175,Invalid join date
175,Invalid last purchase date
175,Invalid churned value
176,Invalid join date
176,Invalid last purchase date
176,Invalid churned value
177,Invalid join date
177,Invalid last purchase date
177,Invalid churned value
178,Invalid join date
178,Invalid last purchase date
179,Invalid join date
179,Invalid last purchase date
179,Invalid churned value
180,Invalid join date
180,Invalid last purchase date
180,Invalid churned value
181,Invalid join date
181,Invalid last purchase date
181,Invalid churned value
182,Invalid join date
182,Invalid last purchase date
182,Invalid churned value
183,Invalid join date
183,Invalid last purchase date
183,Invalid churned value
184,Invalid join date
184,Invalid last purchase date
184,Invalid churned value
185,Invalid join date
185,Invalid last purchase date
185,Invalid churned value
186,Invalid join date
186,Invalid last purchase date
186,Invalid churned value
187,Invalid join date
187,Invalid last purchase date
187,Invalid churned value
188,Invalid join date
188,Invalid last purchase date
188,Invalid churned value
189,Invalid join date
189,Invalid last purchase date
189,Invalid churned value
190,Invalid join date
190,Invalid last purchase date
190,Invalid churned value
191,Invalid join date
191,Invalid last purchase date
191,Invalid churned value
192,Invalid join date
192,Invalid last purchase date
192,Invalid churned value
193,Invalid join date
193,Invalid last purchase date
193,Invalid churned value
194,Invalid join date
194,Invalid last purchase date
194,Invalid churned value
195,Invalid join date
195,Invalid last purchase date
195,Invalid churned value
196,Invalid join date
196,Invalid last purchase date
196,Invalid churned value
197,Invalid join date
197,Invalid last purchase date
197,Invalid churned value
198,Invalid join date
198,Invalid last purchase date
198,Invalid churned value
199,Invalid join date
199,Invalid last purchase date
199,Invalid churned value
200,Invalid join date
200,Invalid last purchase date
200,Invalid churned value
201,Invalid join date
201,Invalid last purchase date
201,Invalid churned value
202,Invalid join date
202,Invalid last purchase date
202,Invalid churned value
203,Invalid join date
203,Invalid last purchase date
203,Invalid churned value
204,Invalid join date
204,Invalid last purchase date
204,Invalid churned value
205,Invalid join date
205,Invalid last purchase date
205,Invalid churned value
206,Invalid join date
206,Invalid last purchase date
206,Invalid churned value
207,Invalid join date
207,Invalid last purchase date
207,Invalid churned value
208,Invalid join date
208,Invalid last purchase date
208,Invalid churned value
209,Invalid join date
209,Invalid last purchase date
209,Invalid churned value
210,Invalid join date
210,Invalid last purchase date
210,Invalid churned value
211,Invalid join date
211,Invalid last purchase date
211,Invalid churned value
212,Invalid join date
212,Invalid last purchase date
212,Invalid churned value
213,Invalid join date
213,Invalid last purchase date
213,Invalid churned value
214,Invalid join date
214,Invalid last purchase date
214,Invalid churned value
215,Invalid join date
215,Invalid last purchase date
215,Invalid churned value
216,Invalid join date
216,Invalid last purchase date
216,Invalid churned value
217,Invalid join date
217,Invalid last purchase date
217,Invalid churned value
218,Invalid join date
218,Invalid last purchase date
218,Invalid churned value
219,Invalid join date
219,Invalid last purchase date
220,Invalid join date
220,Invalid last purchase date
220,Invalid churned value
221,Invalid join date
221,Invalid last purchase date
221,Invalid churned value
222,Invalid join date
222,Invalid last purchase date
222,Invalid churned value
223,Invalid join date
223,Invalid last purchase date
223,Invalid churned value
224,Invalid join date
224,Invalid last purchase date
224,Invalid churned value
225,Invalid join date
225,Invalid last purchase date
225,Invalid churned value
226,Invalid join date
226,Invalid last purchase date
226,Invalid churned value
227,Invalid join date
227,Invalid last purchase date
228,Invalid join date
228,Invalid last purchase date
228,Invalid churned value
229,Invalid join date
229,Invalid last purchase date
229,Invalid churned value
230,Invalid join date
230,Invalid last purchase date
230,Invalid churned value
231,Invalid join date
231,Invalid last purchase date
231,Invalid churned value
232,Invalid join date
232,Invalid last purchase date
232,Invalid churned value
233,Invalid join date
233,Invalid last purchase date
233,Invalid churned value
234,Invalid join date
234,Invalid last purchase date
234,Invalid churned value
235,Invalid join date
235,Invalid last purchase date
235,Invalid churned value
236,Invalid join date
236,Invalid last purchase date
236,Invalid churned value
237,Invalid join date
237,Invalid last purchase date
237,Invalid churned value
238,Invalid join date
238,Invalid last purchase date
238,Invalid churned value
239,Invalid join date
239,Invalid last purchase date
239,Invalid churned value
240,Invalid join date
240,Invalid last purchase date
240,Invalid churned value
241,Invalid join date
241,Invalid last purchase date
241,Invalid churned value
242,Invalid join date
242,Invalid last purchase date
242,Invalid churned value
243,Invalid join date
243,Invalid last purchase date
243,Invalid churned value
244,Invalid join date
244,Invalid last purchase date
244,Invalid churned value
245,Invalid join date
245,Invalid last purchase date
245,Invalid churned value
246,Invalid join date
246,Invalid last purchase date
246,Invalid churned value
247,Invalid join date
247,Invalid last purchase date
247,Invalid churned value
248,Invalid join date
248,Invalid last purchase date
248,Invalid churned value
249,Invalid join date
249,Invalid last purchase date
249,Invalid churned value
250,Invalid join date
250,Invalid last purchase date
250,Invalid churned value
251,Invalid join date
251,Invalid last purchase date
251,Invalid churned value
252,Invalid join date
252,Invalid last purchase date
252,Invalid churned value
253,Invalid join date
253,Invalid last purchase date
253,Invalid churned value
254,Invalid join date
254,Invalid last purchase date
254,Invalid churned value
255,Invalid join date
255,Invalid last purchase date
255,Invalid churned value
256,Invalid join date
256,Invalid last purchase date
256,Invalid churned value
257,Invalid join date
257,Invalid last purchase date
257,Invalid churned value
258,Invalid join date
258,Invalid last purchase date
258,Invalid churned value
259,Invalid join date
259,Invalid last purchase date
259,Invalid churned value
260,Invalid join date
260,Invalid last purchase date
260,Invalid churned value
261,Invalid join date
261,Invalid last purchase date
261,Invalid churned value
262,Invalid join date
262,Invalid last purchase date
262,Invalid churned value
263,Invalid join date
263,Invalid last purchase date
263,Invalid churned value
264,Invalid join date
264,Invalid last purchase date
264,Invalid churned value
265,Invalid join date
265,Invalid last purchase date
265,Invalid churned value
266,Invalid join date
266,Invalid last purchase date
266,Invalid churned value
267,Invalid join date
267,Invalid last purchase date
267,Invalid churned value
268,Invalid join date
268,Invalid last purchase date
268,Invalid churned value
269,Invalid join date
269,Invalid last purchase date
